intern,con_legis_num,congress,legislation_type,chamber,bill_number,title,link,target,is_gold_trap,gold_label,display_order
Asher S.,115_s.2872,115,s,Senate,S. 2872,"A bill to amend the Congressional Accountability Act of 1995 to reform the procedures provided under such Act for the initiation, investigation, and resolution of claims alleging that employing offices of the legislative branch have violated the rights and protections provided to their employees under such Act, including protections against sexual harassment and discrimination, and for other purposes.",https://www.congress.gov/bill/115th-congress/senate-bill/2872,gold,True,0,0
Asher S.,119_s.732,119,s,Senate,S. 732,"A bill to amend the Defense Production Act of 1950 with respect to foreign investments in United States agriculture, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/732,test_119,False,,1
Asher S.,119_h.r.116,119,hr,House,H.R. 116,"To close loopholes in the immigration laws that serve as incentives to aliens to attempt to enter the United States unlawfully, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/116,test_119,False,,2
Asher S.,119_h.r.3575,119,hr,House,H.R. 3575,"To amend the Trade Act of 1974 to authorize the United States Trade Representative to impose remedial measures with respect to certain entities that evade or may attempt to evade duties imposed with respect to nonmarket economy countries, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/3575,test_119,False,,3
Asher S.,119_s.1867,119,s,Senate,S. 1867,"A bill to provide for phase-out of de minimis treatment under the Tariff Act of 1930, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1867,test_119,False,,4
Asher S.,119_h.r.1531,119,hr,House,H.R. 1531,"To direct certain financial regulators to exclude representatives of the People's Republic of China from certain banking organizations upon notice of certain threats or danger, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1531,test_119,False,,5
Asher S.,110_h.r.744,110,hr,House,H.R. 744,"To enhance congressional oversight of Operation Iraqi Freedom by requiring the President to transmit periodically to Congress a consolidated, comprehensive report to detail the terms of completion for Operation Iraqi Freedom and by requiring the President to seek to enter into a multilateral agreement to help provide for the completion of Operation Iraqi Freedom.",https://www.congress.gov/bill/110th-congress/house-bill/744,train_neg,False,,6
Asher S.,119_h.r.3028,119,hr,House,H.R. 3028,To amend the Harmonized Tariff Schedule of the United States to provide a uniform 8-digit subheading number for all whiskies.,https://www.congress.gov/bill/119th-congress/house-bill/3028,test_119,False,,7
Asher S.,119_s.2475,119,s,Senate,S. 2475,A bill to amend the Internal Revenue Code of 1986 to provide rebates to individuals using tariff proceeds.,https://www.congress.gov/bill/119th-congress/senate-bill/2475,test_119,False,,8
Asher S.,119_h.r.1548,119,hr,House,H.R. 1548,"To amend the Tariff Act of 1930 to improve the administration of antidumping and countervailing duty laws, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1548,test_119,False,,9
Asher S.,119_s.2960,119,s,Senate,S. 2960,A bill to develop economic tools to deter aggression by the People's Republic of China against Taiwan.,https://www.congress.gov/bill/119th-congress/senate-bill/2960,test_119,False,,10
Asher S.,119_s.103,119,s,Senate,S. 103,A bill to amend the Protecting Americans from Foreign Adversary Controlled Applications Act to extend the deadline by which TikTok must be sold in order to avoid being banned.,https://www.congress.gov/bill/119th-congress/senate-bill/103,test_119,False,,11
Asher S.,119_h.r.2503,119,hr,House,H.R. 2503,"To require the development of a strategy to eliminate the availability to foreign adversaries of goods and technologies capable of supporting undersea cables, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2503,test_119,False,,12
Asher S.,119_s.3018,119,s,Senate,S. 3018,A bill to permit visiting dignitaries and service members from Taiwan to display the flag of the Republic of China.,https://www.congress.gov/bill/119th-congress/senate-bill/3018,test_119,False,,13
Asher S.,119_s.3181,119,s,Senate,S. 3181,"A bill to revoke security clearances for former personnel of the Department of Defense who engage in lobbying activities on behalf of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/3181,test_119,False,,14
Asher S.,112_h.r.5223,112,hr,House,H.R. 5223,"To suspend temporarily the duty on hand operated globe type valves of steel, having an opening less than approximately 7.62 cm. in diameter and certified by the importer as meeting ASME B16.34 certification requirements as approved for use in nuclear facilities.",https://www.congress.gov/bill/112th-congress/house-bill/5223,train_neg,False,,15
Asher S.,119_h.res.689,119,hres,House,H.Res. 689,"Expressing the opposition of the House of Representatives to the Chinese Communist Party's ""stolen valor"" historical revisionism with regards to Allied Victory in Asia, commemorating the contributions made by the Republic of China to Allied Victory, and acknowledging the postwar contributions of the Government of Japan to peace and stability in the Indo-Pacific.",https://www.congress.gov/bill/119th-congress/house-resolution/689,test_119,False,,16
Asher S.,119_s.res.355,119,sres,Senate,S.Res. 355,A resolution requesting information on the Republic of Rwanda's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961.,https://www.congress.gov/bill/119th-congress/senate-resolution/355,test_119,False,,17
